0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
ultimately,0.45483,-0.10228999999999999,0.35265,0.16507,0.33391,-0.033643,0.00043911,-0.09316,0.60292,-0.26628,0.30135,0.45863999999999994,0.049518,-0.28523000000000004,-0.244,-0.81647,0.020544999999999997,0.37938,-0.30024,0.58697,0.21624000000000002,-0.76569,0.20397,-0.45083999999999996,-0.17138,0.2191,-0.46433,-0.38544,0.29181999999999997,-0.36911,0.31478,0.9538399999999999,-0.53598,-0.42941999999999997,-0.12487000000000001,-0.33758,0.12005,-0.30765,-0.28244,-0.20289000000000001,-0.5070600000000001,-0.23463,-0.10309000000000001,-0.34185,-0.10497000000000001,-0.22595,0.6494300000000001,0.022811,0.098427,-0.6514,0.17989000000000002,-0.26682,0.23309000000000002,0.9380799999999999,0.5323399999999999,-1.7329,0.048211000000000004,-0.33657,0.73172,0.41606000000000004,-0.13993,0.20463,0.19919,-0.14692,0.9921,-0.26823,-0.23096999999999998,0.37569,-0.36863,-0.5128,0.6241800000000001,-0.23489000000000002,-0.37845,0.3197,-0.022897999999999998,-0.20289000000000001,-0.28811,-0.074336,-0.63241,0.43812,-0.10917,0.56707,-0.74671,-0.11282,-1.607,-0.37444,0.11084000000000001,-0.32942,-0.182,-0.26932,-0.35214,-0.47388,-0.19255999999999998,0.2763,-0.053913,0.34036,0.23723000000000002,0.054277,0.10977,0.18678
want,-0.17124,0.56447,0.34667,-0.56711,-0.65675,0.12080999999999999,-0.76863,0.07283200000000001,0.42236999999999997,-0.10464000000000001,-0.095098,0.35531,0.37523,-0.10315,-0.36373,-0.34235,0.15420999999999999,0.42595,-0.93621,0.76463,0.22935999999999998,0.39153000000000004,0.048629,-0.63902,-0.27605999999999997,0.14309000000000002,-0.1457,-0.9260299999999999,0.7366199999999999,-0.47586000000000006,0.16671,0.87328,0.043905,-0.0021803,0.6098100000000001,0.18375999999999998,0.17213,0.24313,0.31518,-0.49676000000000003,-0.3441,-0.18997999999999998,0.1418,-1.0103,-0.6809,-0.16667,-0.038716,-0.22746999999999998,-0.20992,-1.2806,-0.013947,0.025616000000000003,-0.43727,0.80019,-0.051486000000000004,-2.2276,0.23601,0.15772,1.5965,0.14865,-0.082737,0.70406,-0.8324799999999999,-0.46889,1.2773,0.41736,0.64693,0.78081,-0.59024,-0.52525,0.39025,-0.55992,-0.29066,-0.8870899999999999,-0.18135,0.22910999999999998,-0.14212,0.036706,-0.49487,-0.11899000000000001,0.44098999999999994,-0.42423999999999995,-0.4791,-0.093485,-1.5978,-0.19971,0.099788,0.32889,-0.29564,-0.43231,-0.013218,-0.20853000000000002,0.052186,-0.86911,-0.85816,-0.23443000000000003,0.057799,0.03115,0.48789,0.69311
turn,-0.08525,0.021085,0.30965,-0.17603,0.088869,0.28505,-0.34456,0.11395999999999999,0.29212,-0.24502,0.06139,0.38997,0.18469000000000002,0.028075,0.22511,-0.15325,0.060844,0.27098,-0.12833,0.16555,0.5044,-0.18684,0.10818,-0.37488,-0.029563,0.06188300000000001,-0.45121999999999995,-0.18225,0.64018,-0.45381000000000005,0.16264,0.8412200000000001,-0.13373,-0.15338,-0.36222,0.16792,0.08961799999999999,-0.2956,0.12397999999999999,0.022515,-0.74854,-0.5522,-0.17269,-0.61936,-0.18006,0.0055753,0.038751999999999995,0.16569,0.21308000000000002,-0.8941,-0.30299,-0.013611000000000002,-0.11634000000000001,1.1493,0.20174,-2.3823,-0.4215,0.23959,1.4696,-0.12155,0.011755,0.8243,-0.01151,-0.035935,0.9115200000000001,-0.069714,0.10132999999999999,0.13302999999999998,-0.39529000000000003,-0.37805,0.13681,-0.32911999999999997,-0.24245,-0.35115,0.077007,-0.22330999999999998,-0.41275,-0.072486,0.080583,0.14190999999999998,0.65754,0.19384,-0.9028,-0.033123,-1.246,-0.42368999999999996,0.21779,-0.013447999999999998,0.12384,-0.33401,-0.22737,0.11364,-0.23705,-0.31440999999999997,-0.43231,-0.10549000000000001,0.14866,-0.24256,0.47029,0.2342
text,-0.49705,0.71642,0.40119,-0.05761,0.83614,0.8256,0.08963,-0.53492,0.34335,-0.27079000000000003,-0.011152,0.025207,-0.1235,0.11800999999999999,0.045312,0.73144,0.13744,-0.13084,-0.028249,-0.30789,-0.8186399999999999,-0.5451699999999999,0.25151,0.53891,0.38293,-1.0343,-0.1104,0.44977,-0.13019,0.24846999999999997,0.1048,0.19567,-0.42672,-0.37911999999999996,0.14535,-0.025532,-0.23523000000000002,-0.3638,-0.14269,0.0062071999999999995,-0.63,-0.23068000000000002,0.086461,0.22125999999999998,-0.65625,-0.55701,-0.60243,-0.13159,-0.027226,0.0044152,1.4123,1.3042,0.54118,0.33443,-0.51865,-1.8253,-0.30525,-0.32747,1.236,0.08771,0.0077930000000000004,0.36571,-0.39304,-0.79174,0.5787399999999999,-0.0025427,0.10442,0.64166,-0.1881,-0.76203,0.23008,0.30637,1.0386,-0.6984600000000001,0.31094,0.63762,-0.09997,0.16999,-0.5998399999999999,-0.89565,-0.25059000000000003,-0.93011,-0.59606,-0.32965,-1.6828,0.39102,0.65383,-1.5176,0.61748,0.0075596000000000005,0.040066000000000004,0.6080300000000001,-0.027058,0.15273,-0.16887,-0.47663999999999995,-0.61775,-0.98735,0.23776,0.39952
matrix,-0.26638,0.44491,0.32743,0.43459,0.10528,0.31703000000000003,-0.34503,0.18147,-0.14878,0.8489700000000001,0.4721,-1.1558,0.099759,0.062035,0.47041000000000005,1.0013,0.018791,1.311,1.3388,-0.50075,0.32534,-0.84829,-0.40881999999999996,-0.18405,0.71325,0.03127,1.9998,0.59029,-0.21204,-0.44343,0.68245,0.9443799999999999,-0.11900000000000001,-0.32573,1.083,0.20224,0.9864,0.44538,0.23942,-0.9146200000000001,0.32708000000000004,0.036551,-0.091388,-0.4554,-0.41849,0.5451,-0.5648,0.12675999999999998,-0.29724,0.39565,0.43511000000000005,-0.83701,0.10056,0.81198,0.07657,-0.50079,-0.6392399999999999,0.25515,0.56498,0.26425,-0.29231999999999997,0.2291,-0.23567,0.52685,1.6412,0.22546,0.9909899999999999,-0.08301900000000001,0.8046,0.14957,-0.18681,0.29335,-0.15312,-0.43332,0.36968,-1.0212,0.046447,-0.061121,-0.30038000000000004,-0.32563000000000003,-0.34144,0.47618,-0.8345,-0.047333,-0.35806,0.67309,0.66781,-0.92899,-0.13483,-0.27055999999999997,-1.1066,0.35388000000000003,-0.26355,0.59609,1.1334,-1.1025,0.77682,-0.17267000000000002,-0.5372600000000001,0.158
gives,-0.13883,0.43859,0.90736,0.18993,0.16446,0.09245700000000001,-0.5976,0.20403,-0.08784299999999999,-0.69825,0.006429600000000001,-0.43001000000000006,-0.12532000000000001,0.095026,0.049545,0.44093999999999994,-0.13621,-0.064874,0.14593,1.1466,-0.30323,-0.66333,-0.3803,-0.29889,0.18087,0.10117999999999999,-0.36877,-0.41918,-0.17770999999999998,-0.7176600000000001,0.011742,1.0009,-0.15575,-0.20709,-0.020822,0.21161999999999997,0.11556,0.1792,-0.29836999999999997,-0.1059,-0.13289,-0.33339,0.40854,-0.4952,-0.37035999999999997,-0.42285,-0.30787,-0.11210999999999999,0.055230999999999995,-0.034941,0.09574500000000001,-0.040563,0.048479,0.8327600000000001,0.21600999999999998,-2.4077,0.10075,-0.39374000000000003,1.1638,-0.093043,0.39343,0.29236999999999996,0.094109,-0.073768,0.58727,0.13167,0.12322999999999999,0.14800000000000002,-0.1162,0.13102,0.092761,-0.18946,0.057981,-0.11184000000000001,0.82688,0.29814,-0.090513,-0.7773800000000001,-0.72309,-0.33205999999999997,0.30809000000000003,-0.26272,-0.79581,-0.53236,-0.87669,0.102,0.16539,-0.0047212,0.59704,-0.20595,0.034601,-0.34646,0.15124,-0.58086,-0.060052,-0.18331,-0.06448,-0.3487,-0.055002999999999996,0.6904399999999999
algorithm,-1.0277,0.1329,-0.28398,0.2524,0.48291999999999996,-0.091038,-0.10062,0.11197,0.35764,0.010256999999999999,0.5039600000000001,0.20203,-0.2879,-0.85098,0.33241,0.77795,0.16109,0.90305,0.82558,0.17397,-0.31073,-0.94832,0.3147,-0.15424000000000002,0.034335000000000004,-0.13926,0.53697,-0.40455,-0.8048,-0.52849,-0.44411000000000006,1.0390000000000001,-0.28768,-0.16764,0.9940100000000001,0.83965,-0.6394,-0.22941999999999999,0.86145,-0.6172,0.059358,0.53428,-0.38723,-0.21375999999999998,-0.64295,0.33081,0.029107,-0.44358000000000003,0.006596600000000001,0.54475,0.034964,-0.6067,0.97129,1.3028,-0.31711,-0.4238,-0.43621000000000004,0.50462,-0.23374,0.13405999999999998,-0.32072,-1.0733,0.23698000000000002,0.41058,1.1079,-0.013616,-0.77191,-0.73458,0.30293000000000003,0.09415499999999999,-1.0742,0.41231999999999996,-0.3813,-0.28588,0.9983299999999999,-0.49683,-0.21374,-0.72648,-0.58189,0.33436,0.16460999999999998,0.15808,-1.5266,-0.74155,-0.69034,1.61,0.75529,-0.9008799999999999,-0.62141,-0.044536,-1.0257,0.81171,-0.55064,0.95468,0.59529,-0.77168,0.12721,-0.96225,-0.046613999999999996,0.268
information,-0.41463999999999995,-0.024021999999999998,0.69038,-0.16917000000000001,0.53466,-0.32578,-0.30617,-0.43133999999999995,0.6823199999999999,-0.14584,0.96716,0.010579,0.13908,-0.11725,0.5544100000000001,0.32449,0.8663200000000001,-0.35831,-0.8094399999999999,0.29462,-0.8237399999999999,-0.36054,0.6543,-0.40186,-1.0906,-0.28781,0.74878,0.12370999999999999,-0.4749,0.058669000000000006,0.19408,0.52256,-0.68032,0.11185,0.014003,-0.091424,-0.41768999999999995,0.6006100000000001,-0.31572,-0.1572,-0.28079,-0.24416,-0.50088,-0.38711999999999996,-0.40294,-0.23301999999999998,-0.24606999999999998,-0.26591,0.052459000000000006,-0.51935,1.2673,0.32769000000000004,0.31686,0.8901899999999999,0.14828,-1.4152,0.13825,-0.10252,2.6421,0.24993,-0.62259,0.68818,0.076016,-0.35118,0.7255699999999999,-0.37385999999999997,0.5493100000000001,0.14937,1.1453,0.57868,-0.4066,-0.28071999999999997,0.51556,-1.2488,0.55752,0.37994,0.27854,-0.16695,-1.6687,-0.28786,0.99649,0.38067,-0.30222,-0.30318,-1.6912,-0.033104,0.7471300000000001,0.007480800000000001,-0.050720999999999995,-0.0013296,0.16473,0.23013000000000003,0.12429000000000001,-0.38695999999999997,0.083726,0.015447,0.36349000000000004,-0.88175,0.44565,0.40437
categorize,-0.8683700000000001,0.156,-0.1124,0.2171,-0.4332,0.40199,-0.26592,-0.51682,0.82521,0.42336,-0.049698,-0.19195,0.15982000000000002,-0.6692899999999999,0.28319,0.6348,0.57091,0.13185,-0.22045,0.52098,-0.21506999999999998,-0.18057,0.36445,-0.18980999999999998,-0.6936,-0.50705,-0.28864,-0.12030999999999999,0.5595399999999999,-0.5310600000000001,-0.10074,0.019861,-0.59386,-0.18574000000000002,-0.10572000000000001,0.08654099999999999,-0.12725999999999998,-0.025869999999999997,0.15607000000000001,-0.60327,-0.18709,0.51868,-0.6249,-0.13514,-1.1467,0.5998100000000001,0.37006,-0.30148,-0.62027,0.0011181,-0.10407999999999999,0.20155,0.24841999999999997,0.20428,-0.30196999999999996,0.63063,0.56667,0.18051,0.18773,-0.029957,-0.31225,0.5642199999999999,0.41103,0.23889000000000002,0.33662,-0.010662,0.8232,0.46076999999999996,0.37082,-0.5773199999999999,-0.05438099999999999,-0.10347,0.25309,0.2257,-0.020411000000000002,-0.5905100000000001,-0.36327,-0.44897,0.15032,-0.58694,-0.28507,-0.061665,-0.37376,0.38244,-0.38689,0.09577000000000001,-0.15394000000000002,0.021856999999999998,-1.0514,0.40183,-0.29922,0.48773,-0.25024,-0.8455,0.36699,-0.15394000000000002,-0.33396,-0.13075,-0.036386,0.02118
text,-0.49705,0.71642,0.40119,-0.05761,0.83614,0.8256,0.08963,-0.53492,0.34335,-0.27079000000000003,-0.011152,0.025207,-0.1235,0.11800999999999999,0.045312,0.73144,0.13744,-0.13084,-0.028249,-0.30789,-0.8186399999999999,-0.5451699999999999,0.25151,0.53891,0.38293,-1.0343,-0.1104,0.44977,-0.13019,0.24846999999999997,0.1048,0.19567,-0.42672,-0.37911999999999996,0.14535,-0.025532,-0.23523000000000002,-0.3638,-0.14269,0.0062071999999999995,-0.63,-0.23068000000000002,0.086461,0.22125999999999998,-0.65625,-0.55701,-0.60243,-0.13159,-0.027226,0.0044152,1.4123,1.3042,0.54118,0.33443,-0.51865,-1.8253,-0.30525,-0.32747,1.236,0.08771,0.0077930000000000004,0.36571,-0.39304,-0.79174,0.5787399999999999,-0.0025427,0.10442,0.64166,-0.1881,-0.76203,0.23008,0.30637,1.0386,-0.6984600000000001,0.31094,0.63762,-0.09997,0.16999,-0.5998399999999999,-0.89565,-0.25059000000000003,-0.93011,-0.59606,-0.32965,-1.6828,0.39102,0.65383,-1.5176,0.61748,0.0075596000000000005,0.040066000000000004,0.6080300000000001,-0.027058,0.15273,-0.16887,-0.47663999999999995,-0.61775,-0.98735,0.23776,0.39952
