Source (A),Source (B),Source (C),Source (D),Source (E),Source (F),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
0,msft,,,,Grab forges strategic cloud partnership with Microsoft to drive innovation and adoption of digital services across Southeast Asia - Stories,19,99.00,85.38,19.27,25.77,19.00,47.37,68.42,26.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.05,0.00,0.00,5.26,0.00,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,10.53,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,15.79,5.26,10.53,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00
1,msft,,,,Redline Communications and Microsoft announce partnership to lower the cost of TV White Space solutions - Stories,16,99.00,96.95,35.37,1.00,16.00,43.75,81.25,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,12.50,0.00,0.00,6.25,0.00,0.00,12.50,6.25,0.00,0.00,0.00,6.25,0.00,6.25,0.00,0.00,6.25,18.75,0.00,6.25,0.00,0.00,6.25,6.25,6.25,0.00,0.00,0.00,0.00,6.25,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,12.50,6.25,6.25,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,0.00,6.25,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00
2,msft,,,,"Adobe, Microsoft and SAP announce the Open Data Initiative to empower a new generation of customer experiences - Stories",18,99.00,71.09,58.07,25.77,18.00,44.44,66.67,27.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,5.56,0.00,5.56,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,0.00,0.00,0.00,5.56,0.00,5.56,0.00,0.00,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,5.56,0.00,0.00,0.00,0.00,5.56,0.00,22.22,0.00,5.56,16.67,5.56,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,5.56,0.00,0.00,0.00,0.00,5.56,0.00,0.00,0.00,0.00
3,msft,,,,Microsoft fortifies security and brings AI to the masses at Ignite 2018 - Stories,13,99.00,77.92,17.46,99.00,13.00,30.77,61.54,30.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,15.38,0.00,0.00,7.69,0.00,7.69,0.00,0.00,0.00,7.69,0.00,7.69,7.69,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,7.69,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,7.69,0.00,7.69,0.00,15.38,7.69,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00
4,msft,,,,Shell expands strategic collaboration with Microsoft to drive industry transformation and innovation - Stories,13,97.77,77.92,17.46,25.77,13.00,61.54,69.23,23.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,7.69,7.69,0.00,0.00,0.00,0.00,0.00,0.00,15.38,7.69,7.69,0.00,15.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00
5,msft,,,,Microsoft announces quarterly dividend increase - Stories,6,92.84,95.20,23.51,25.77,6.00,100.00,66.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,16.67,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00
6,msft,,,,"Network Business Systems and Microsoft announce agreement to deliver broadband internet to rural communities in Illinois, Iowa and South Dakota - Stories",21,96.41,82.96,13.15,95.81,21.00,57.14,52.38,23.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,9.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,4.76,0.00,0.00,0.00,0.00,9.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,4.76,9.52,0.00,4.76,0.00,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,0.00,4.76,0.00,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00
7,msft,,,,Agile Networks and Microsoft announce agreement to deliver broadband internet access to rural communities in Ohio - Stories,17,98.92,88.03,6.20,98.87,17.00,52.94,52.94,23.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.65,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,5.88,0.00,0.00,0.00,0.00,11.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.76,5.88,0.00,0.00,5.88,0.00,0.00,0.00,0.00,11.76,5.88,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00
8,msft,,,,Microsoft awards grant to Numbers4Health to expand its telehealth solution to rural Maine - Stories,14,99.00,76.25,13.15,99.00,14.00,35.71,57.14,28.57,7.14,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,21.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,7.14,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,7.14,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,7.14,0.00,0.00,0.00,0.00,7.14,0.00,7.14,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00
9,msft,,,,Microsoft awards grant to Tribal Digital Village and Numbers4Health to expand internet access and solutions for rural and underserved communities in California - Stories,23,96.18,80.77,9.25,93.61,23.00,43.48,65.22,30.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.39,0.00,0.00,13.04,0.00,0.00,8.70,0.00,0.00,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,8.70,0.00,0.00,0.00,0.00,4.35,4.35,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.74,8.70,8.70,0.00,8.70,0.00,0.00,0.00,0.00,8.70,0.00,8.70,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00
